,In1,In3,In4,Out1
325,0.5,0.5,0.25,0.75
326,0.75,0.75,0.25,0.75
327,1.0,0.75,0.25,0.5
328,1.0,0.5,0.0,0.5
329,0.5,0.0,0.0,0.0
330,0.75,0.5,1.0,0.5
331,1.0,1.0,0.75,0.75
332,0.25,0.25,0.25,0.0
333,0.25,0.5,0.5,0.25
334,0.75,1.0,0.25,0.5
335,0.5,0.5,0.75,0.5
336,0.5,0.25,1.0,0.25
337,0.5,1.0,1.0,0.75
338,1.0,1.0,0.5,0.75
339,0.5,0.0,0.0,0.25
340,1.0,0.25,1.0,0.5
341,1.0,1.0,0.75,1.0
342,0.0,1.0,1.0,0.75
343,0.0,0.5,0.75,0.5
344,0.5,0.25,1.0,0.5
345,0.75,1.0,0.0,0.75
346,0.25,0.0,0.25,0.25
347,0.0,0.75,0.0,0.0
348,0.0,0.25,0.0,0.0
349,1.0,0.75,0.25,0.75
350,0.0,0.25,0.0,0.0
351,0.5,0.0,0.75,0.5
352,0.25,0.75,0.25,0.25
353,0.5,0.25,0.0,0.5
354,0.25,1.0,0.5,0.5
355,0.5,1.0,0.5,0.75
356,0.25,0.5,0.5,0.25
357,0.0,0.25,0.75,0.25
358,0.5,0.0,1.0,0.5
359,0.5,0.5,0.0,0.25
360,0.25,0.0,1.0,0.5
361,0.0,0.25,0.5,0.5
362,0.5,0.75,0.75,0.75
363,0.75,0.0,0.75,0.75
364,0.0,0.25,0.75,0.25
365,0.25,1.0,0.5,0.5
366,0.25,0.75,0.5,0.5
367,0.0,1.0,0.5,0.5
368,0.0,0.75,0.75,0.5
369,0.5,0.0,0.75,0.75
370,0.0,0.25,0.75,0.0
371,0.0,0.25,0.75,0.25
372,0.0,1.0,0.75,0.5
373,0.5,0.0,0.75,0.75
374,0.0,0.25,0.5,0.25
375,1.0,0.0,0.5,0.25
376,0.0,1.0,0.5,0.75
377,0.5,0.5,0.75,0.5
378,0.0,1.0,0.0,0.0
379,0.0,0.5,1.0,0.5
380,1.0,0.75,0.25,0.5
381,0.75,0.5,1.0,0.5
382,0.5,1.0,0.5,0.5
383,0.0,0.25,0.75,0.25
384,0.5,0.25,1.0,0.5
385,0.0,0.5,0.75,0.5
386,0.0,0.25,0.5,0.0
387,0.25,0.75,0.25,0.0
388,1.0,0.0,0.5,0.25
389,0.5,0.5,0.0,0.25
390,0.0,0.5,0.75,0.5
391,0.0,1.0,0.0,0.0
392,0.0,0.75,0.75,0.0
393,0.5,0.75,0.75,0.5
394,0.25,1.0,0.5,0.25
395,0.0,0.5,1.0,0.5
396,0.0,1.0,1.0,0.25
397,0.5,0.75,0.75,0.5
398,1.0,0.0,0.5,0.25
399,0.0,0.0,0.0,0.0
400,0.25,0.0,1.0,0.5
401,0.75,0.5,1.0,0.5
402,0.25,0.75,0.5,0.5
403,0.25,0.5,0.25,0.25
404,0.0,1.0,0.5,0.75
405,0.0,0.25,0.5,0.5
406,0.75,0.5,1.0,0.5
407,0.0,0.0,0.0,0.0
408,0.5,0.25,0.5,0.25
409,0.5,0.75,0.75,0.75
410,0.75,0.5,0.0,0.5
411,0.5,0.5,1.0,0.75
412,0.75,0.5,0.5,0.75
413,0.25,0.25,0.5,0.25
414,0.0,1.0,0.0,0.25
415,0.75,0.5,0.0,0.5
416,0.75,1.0,0.25,0.75
417,0.0,0.25,0.5,0.25
418,0.75,0.5,1.0,0.5
419,0.75,0.25,0.0,0.25
420,0.5,0.75,0.5,0.75
421,0.25,0.5,0.25,0.5
422,1.0,0.75,0.25,0.5
423,0.5,0.25,0.5,0.5
424,0.0,0.75,0.0,0.75
425,0.5,1.0,0.25,0.25
426,0.0,0.5,0.75,0.25
427,0.5,1.0,0.25,0.5
428,1.0,0.75,0.25,0.5
429,0.75,0.0,0.5,0.5
430,0.75,1.0,0.0,1.0
431,0.5,0.0,0.0,0.25
432,0.0,0.25,0.5,0.25
433,0.25,1.0,0.5,0.25
434,0.5,0.25,1.0,0.5
435,0.0,1.0,1.0,0.0
436,0.5,0.75,0.5,0.5
437,0.0,1.0,0.75,0.25
438,0.25,0.5,0.75,0.5
439,0.0,1.0,0.5,0.75
440,0.5,0.5,1.0,0.5
441,0.75,0.5,0.0,0.25
442,0.75,0.25,0.5,0.75
443,0.75,1.0,0.0,0.75
444,0.5,0.5,0.5,0.25
445,0.5,0.0,0.5,0.5
446,0.25,0.5,0.25,0.75
447,1.0,0.0,0.5,0.25
448,0.25,1.0,0.5,0.5
449,0.0,1.0,1.0,1.0
450,0.5,0.0,0.75,0.75
451,0.5,0.0,0.5,0.5
452,0.0,0.5,0.5,0.25
453,0.5,0.75,0.5,0.5
454,0.0,1.0,0.75,0.25
455,0.5,0.0,0.75,0.75
456,0.25,0.5,0.5,0.0
457,0.0,0.25,0.75,0.5
458,0.5,1.0,0.25,0.5
459,0.5,1.0,0.75,0.25
460,1.0,0.0,0.5,0.25
461,0.0,0.25,0.75,0.25
462,0.25,0.25,0.5,0.25
463,0.25,0.75,0.25,0.0
464,0.25,0.0,1.0,0.75
465,0.75,0.5,0.5,0.5
466,1.0,0.0,0.5,0.25
467,0.0,1.0,0.5,0.5
468,0.5,0.75,0.5,0.5
469,0.25,0.5,0.25,0.5
470,1.0,0.75,0.25,0.5
471,0.0,0.25,0.75,0.5
472,0.0,0.25,0.5,0.5
473,0.25,0.5,0.75,0.5
474,0.0,0.75,0.75,0.5
475,0.0,0.25,1.0,0.0
476,1.0,0.0,0.5,0.25
477,0.5,0.75,0.75,0.5
478,0.75,0.25,0.5,0.75
479,0.25,0.5,0.25,0.25
480,1.0,0.75,0.0,0.25
481,0.25,1.0,0.5,0.25
482,0.5,0.5,0.75,0.75
483,1.0,0.0,0.5,0.25
484,1.0,0.75,0.25,0.25
485,0.75,0.5,1.0,0.5
486,0.5,0.5,0.75,0.5
487,0.25,1.0,0.5,0.5
488,0.0,1.0,0.75,0.25
489,1.0,1.0,0.75,0.75
490,0.0,0.25,0.5,0.25
491,0.75,0.5,1.0,0.25
492,0.0,0.5,0.75,0.5
493,0.0,0.75,0.75,0.5
494,0.5,0.5,0.0,0.5
495,0.0,1.0,0.0,0.5
496,0.25,0.25,0.25,0.0
497,0.0,0.5,1.0,0.5
498,1.0,0.75,0.0,0.25
499,0.75,0.5,1.0,0.5
500,1.0,0.75,0.0,0.5
501,0.0,1.0,0.75,0.5
502,0.75,1.0,0.25,0.75
503,0.5,0.0,0.75,0.75
504,0.0,1.0,0.25,0.25
505,0.75,0.5,0.0,0.5
506,0.0,1.0,0.25,0.75
507,0.0,0.75,0.75,0.25
508,0.5,0.75,0.75,0.5
509,0.5,0.75,0.75,0.5
510,0.0,0.0,0.0,0.25
511,0.0,0.0,0.0,0.0
512,0.0,1.0,0.0,0.0
513,0.0,0.75,0.0,0.0
514,0.5,0.25,1.0,0.5
515,0.0,1.0,0.5,0.75
516,0.0,0.0,0.0,0.25
517,0.5,1.0,0.25,0.5
518,0.25,0.0,1.0,0.5
519,0.0,1.0,0.5,0.75
520,1.0,0.0,1.0,0.0
521,0.25,0.75,0.25,0.25
522,0.5,0.75,0.5,0.5
523,1.0,1.0,0.25,0.75
524,0.0,1.0,1.0,0.5
525,0.5,0.5,0.0,0.25
526,0.0,1.0,1.0,0.5
527,1.0,1.0,0.25,0.75
528,0.0,1.0,0.5,0.75
529,0.25,1.0,1.0,0.25
530,0.25,1.0,0.5,0.5
531,0.75,0.5,0.5,1.0
532,0.0,0.75,0.0,0.0
533,0.25,1.0,0.25,0.5
534,0.25,0.0,0.25,0.5
535,0.75,0.5,0.5,0.5
536,0.5,0.25,1.0,0.5
537,0.5,0.75,0.5,0.75
538,0.25,0.5,0.25,0.5
539,0.5,0.5,0.75,0.5
540,0.5,1.0,1.0,0.75
541,0.5,0.75,1.0,0.0
542,0.5,0.75,0.5,0.75
543,0.5,0.0,0.75,0.5
544,0.0,1.0,0.0,0.5
545,0.5,0.0,0.75,0.5
546,0.75,0.5,1.0,0.5
547,0.5,0.5,0.5,0.25
548,0.0,1.0,1.0,0.75
549,0.0,0.25,1.0,0.25
550,0.5,0.0,0.5,0.5
551,0.75,0.5,0.5,0.75
552,0.0,0.25,0.5,0.25
553,0.25,0.5,0.25,0.75
554,0.5,0.0,0.75,0.75
555,0.5,0.5,0.75,0.5
556,1.0,0.5,0.0,0.75
557,0.5,0.5,0.75,0.5
558,0.5,1.0,1.0,0.5
559,0.25,1.0,0.5,0.5
560,1.0,1.0,0.5,0.75
561,0.25,0.25,0.5,0.25
562,0.5,0.25,1.0,0.75
563,0.75,0.5,0.5,0.75
564,0.5,0.0,1.0,0.5
565,0.75,0.25,0.5,0.75
566,0.0,0.25,0.5,0.25
567,0.25,0.0,0.25,0.5
568,0.5,0.5,0.5,0.25
569,0.5,0.0,1.0,0.5
570,0.5,0.0,0.75,0.25
571,0.25,0.5,0.25,0.5
572,0.5,0.5,0.75,0.5
573,0.0,0.75,0.0,0.75
574,0.0,0.25,1.0,0.25
575,0.25,0.0,1.0,0.5
576,0.0,0.75,0.0,0.0
577,0.5,0.5,0.75,0.25
578,1.0,1.0,0.75,1.0
579,0.0,1.0,1.0,0.75
580,0.25,0.0,1.0,0.25
581,1.0,0.75,0.25,0.25
582,0.75,0.75,0.0,0.75
583,0.25,0.5,0.25,0.5
584,0.75,0.0,0.5,0.75
585,0.0,0.75,0.0,0.0
586,0.75,0.75,0.25,0.5
587,0.5,0.5,0.25,0.5
588,0.5,0.5,0.75,0.5
589,0.5,0.75,1.0,0.25
590,0.25,0.0,1.0,0.75
591,1.0,0.0,1.0,0.75
592,0.0,1.0,0.5,1.0
593,0.25,0.75,0.5,0.5
594,0.75,0.5,1.0,0.25
595,0.5,1.0,0.5,0.5
596,0.75,0.0,0.75,0.75
597,0.0,1.0,0.5,0.75
598,0.5,0.5,0.0,0.5
599,0.0,0.5,1.0,0.25
600,0.0,0.75,0.0,0.0
601,1.0,0.0,1.0,0.5
602,0.5,0.0,0.5,0.5
603,0.0,0.75,0.0,0.0
604,0.5,0.0,0.5,0.75
605,0.0,1.0,0.0,0.0
606,0.0,0.0,0.0,0.0
607,0.25,0.75,0.5,0.5
608,0.0,1.0,0.5,0.5
609,0.5,0.5,0.0,0.25
610,0.0,1.0,0.0,0.5
611,1.0,0.0,1.0,0.5
612,0.5,0.0,0.5,0.25
613,0.0,0.0,0.25,0.25
614,0.25,0.0,1.0,0.25
615,0.5,0.75,0.5,0.5
616,0.75,1.0,0.25,0.5
617,0.0,0.0,0.0,0.0
618,0.75,0.5,0.0,0.25
619,0.0,0.0,0.0,0.25
620,0.75,1.0,0.25,0.75
621,0.0,1.0,0.0,0.0
622,0.5,0.0,0.5,0.25
623,1.0,0.5,0.0,0.5
624,1.0,0.5,0.0,0.5
625,1.0,0.25,1.0,0.5
626,0.5,0.5,0.75,0.5
627,0.5,0.5,0.0,0.25
628,0.5,0.0,0.5,0.25
629,0.0,1.0,1.0,0.5
630,0.25,0.5,0.0,0.25
631,0.75,0.0,0.5,0.75
632,0.0,0.25,1.0,0.5
633,1.0,0.0,0.5,0.25
634,0.5,0.0,0.75,0.75
635,1.0,0.75,0.25,0.5
636,0.25,0.5,0.75,0.5
637,0.5,0.5,0.5,0.5
638,0.25,0.5,0.75,0.5
639,0.5,0.25,0.0,0.75
640,0.25,0.25,0.75,0.25
641,1.0,1.0,0.25,0.75
642,0.0,0.25,0.75,0.25
643,0.5,0.0,1.0,0.5
644,0.0,1.0,1.0,0.5
645,0.5,0.0,0.5,0.5
646,0.5,0.0,0.0,0.5
647,0.0,0.75,0.0,0.25
648,0.75,0.75,0.0,0.75
649,1.0,1.0,0.5,0.5
650,0.25,0.5,0.25,0.75
651,0.0,1.0,0.75,0.5
652,0.75,0.5,0.5,0.5
653,0.0,0.75,0.0,0.0
654,0.5,0.0,1.0,0.25
655,0.5,0.5,0.5,0.25
656,0.75,1.0,0.0,0.75
657,0.5,0.5,0.25,0.5
658,1.0,0.75,0.25,0.25
659,0.75,0.5,0.0,0.5
660,0.0,1.0,0.0,0.25
661,0.5,1.0,0.5,0.75
662,0.5,0.0,0.0,0.5
663,0.75,0.0,0.75,0.75
664,0.5,0.5,0.5,0.25
665,0.5,0.75,0.75,0.75
666,0.25,1.0,0.5,0.25
667,0.5,0.75,0.75,0.5
668,1.0,0.75,0.25,0.5
669,0.0,1.0,0.25,0.5
670,0.75,0.0,0.75,0.0
671,1.0,0.75,0.25,0.5
672,0.5,0.5,0.25,0.5
673,0.25,0.5,0.75,0.5
674,0.0,0.5,0.75,0.25
675,0.0,1.0,1.0,0.75
676,0.5,1.0,0.25,0.25
677,0.5,0.0,0.0,0.25
678,1.0,0.75,0.25,0.5
679,0.0,0.0,0.25,0.5
680,0.75,1.0,0.0,0.75
681,0.75,1.0,0.0,0.75
682,0.0,1.0,1.0,0.5
683,0.0,1.0,0.25,0.5
684,0.5,0.25,0.5,0.25
685,0.0,0.25,1.0,0.0
686,0.75,0.0,0.75,0.75
687,0.0,1.0,0.75,0.0
688,0.0,1.0,1.0,0.5
689,1.0,0.5,0.0,0.5
690,0.75,0.0,0.5,0.75
691,0.5,0.75,0.5,0.5
692,0.5,0.75,1.0,0.5
693,1.0,0.0,1.0,0.5
694,0.0,1.0,1.0,0.5
695,0.5,0.75,0.75,0.5
696,1.0,0.5,0.0,0.25
697,0.0,0.75,0.0,0.25
698,0.5,0.75,0.75,0.5
699,0.5,0.25,0.0,0.5
700,0.0,0.0,0.0,0.25
701,0.75,0.25,0.0,0.25
702,0.5,0.5,0.75,0.5
703,0.5,1.0,0.75,0.25
704,0.5,1.0,0.5,0.5
705,0.0,1.0,0.25,0.75
706,0.0,0.0,0.25,0.25
707,0.0,0.75,0.75,0.75
708,0.0,1.0,0.5,0.75
709,0.0,0.5,1.0,0.5
710,0.5,1.0,0.25,0.75
711,0.0,0.75,0.0,0.0
712,0.5,0.0,0.0,0.0
713,0.25,0.75,0.5,0.5
714,0.25,0.75,0.5,0.25
715,0.75,0.5,1.0,0.5
716,1.0,0.75,0.25,0.5
717,0.0,1.0,1.0,1.0
718,0.75,1.0,0.25,0.75
719,0.5,0.0,0.75,0.75
720,0.5,0.75,0.5,0.5
721,0.0,0.75,0.0,0.25
722,0.25,0.5,0.75,0.5
723,0.5,0.0,1.0,0.5
724,0.25,1.0,0.5,0.25
725,0.0,0.25,0.5,0.25
726,1.0,0.75,0.0,0.5
727,0.0,0.75,0.75,0.25
728,0.0,0.5,0.75,0.5
729,0.5,0.0,0.5,0.25
730,1.0,0.75,0.25,0.75
731,0.25,0.0,1.0,0.5
732,0.0,0.75,0.0,0.5
733,0.25,0.5,0.25,0.25
734,0.5,0.75,0.5,0.75
735,0.5,0.0,0.5,0.5
736,0.75,0.5,0.5,0.5
737,0.75,0.75,0.0,0.75
738,0.25,0.0,1.0,0.5
739,0.75,0.5,0.5,0.5
740,0.5,0.5,0.0,0.5
741,0.0,0.0,0.0,0.5
742,0.0,1.0,1.0,0.75
743,0.0,0.25,0.75,0.25
744,0.5,0.5,0.5,0.5
745,0.25,1.0,0.5,0.5
746,0.25,0.5,0.25,0.25
747,0.5,1.0,0.25,0.5
748,0.5,0.25,1.0,0.5
749,0.0,0.5,0.75,0.5
750,1.0,1.0,0.25,0.5
751,0.5,0.75,1.0,0.25
752,1.0,0.25,1.0,0.25
753,1.0,0.0,0.5,0.25
754,0.25,0.75,0.0,0.25
755,0.25,0.5,0.75,0.5
756,0.25,1.0,0.25,0.25
757,1.0,0.75,0.25,0.5
758,0.0,0.5,0.75,0.5
759,0.0,0.0,0.0,0.25
760,0.0,1.0,0.0,0.5
761,0.5,0.5,1.0,0.75
762,0.0,0.75,0.0,0.0
763,0.5,1.0,1.0,1.0
764,0.0,0.5,0.5,0.0
765,0.25,0.5,0.5,0.0
766,0.5,0.5,0.0,0.5
767,0.25,0.0,1.0,0.5
768,0.5,0.0,1.0,0.5
769,0.0,0.75,0.0,0.25
770,0.0,1.0,0.75,0.25
771,1.0,1.0,0.25,0.25
772,0.25,0.25,0.75,0.0
773,0.25,0.75,0.5,0.5
774,0.0,0.25,0.5,0.25
775,0.5,0.75,1.0,0.25
